,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,30.0,2700.0,49.0,1.63,143.0,101.0,0.692,13.0,7.0,10.0,7.0,23.3,7.0,5.0,2.0,0.0,30.0,0.0,4.0,2.0,42.2,0.26,-4.8,-0.16,163.0,436.0,37.4,1038.0,181.0,32.0,32.7,265.0,39.2,36.7,308.0,16.0,5.2,33.0,1.1,15.3
1,Roman Bürki,ch SUI,GK,Dortmund,28,1990,31.0,31.0,2770.0,40.0,1.3,93.0,59.0,0.602,19.0,5.0,7.0,13.0,41.9,3.0,3.0,0.0,0.0,30.8,0.0,8.0,3.0,34.7,0.36,-2.3,-0.07,116.0,320.0,36.3,843.0,181.0,29.8,32.8,204.0,33.8,34.3,221.0,15.0,6.8,27.0,0.88,14.8
2,Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,26.0,2340.0,38.0,1.46,104.0,69.0,0.673,11.0,6.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,26.0,1.0,5.0,0.0,36.8,0.33,-1.2,-0.05,227.0,485.0,46.8,807.0,123.0,47.0,40.1,178.0,59.6,48.7,217.0,18.0,8.3,24.0,0.92,15.5
3,Mark Flekken,nl NED,GK,Freiburg,26,1993,10.0,10.0,900.0,14.0,1.4,70.0,54.0,0.8,4.0,3.0,3.0,3.0,30.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,16.3,0.22,2.3,0.23,82.0,206.0,39.8,324.0,41.0,43.8,40.1,111.0,57.7,51.5,93.0,3.0,3.2,2.0,0.2,12.5
4,Rafał Gikiewicz,pl POL,GK,Union Berlin,31,1987,33.0,33.0,2970.0,54.0,1.64,160.0,109.0,0.681,12.0,5.0,16.0,8.0,24.2,4.0,3.0,1.0,0.0,33.0,0.0,9.0,1.0,51.0,0.3,-2.0,-0.06,412.0,890.0,46.3,1087.0,124.0,61.5,47.4,269.0,82.2,60.7,295.0,28.0,9.5,23.0,0.7,15.3
5,Péter Gulácsi,hu HUN,GK,RB Leipzig,29,1990,32.0,32.0,2880.0,34.0,1.06,117.0,82.0,0.726,16.0,12.0,4.0,10.0,31.3,2.0,2.0,0.0,0.0,32.0,0.0,8.0,0.0,37.6,0.31,3.6,0.11,165.0,398.0,41.5,1042.0,183.0,30.5,33.1,226.0,35.4,35.2,243.0,19.0,7.8,48.0,1.5,17.2
6,Marwin Hitz,ch SUI,GK,Dortmund,31,1987,4.0,3.0,290.0,1.0,0.31,7.0,6.0,0.857,2.0,1.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,2.9,0.41,1.9,0.59,9.0,24.0,37.5,75.0,14.0,20.0,31.0,25.0,36.0,39.9,21.0,2.0,9.5,4.0,1.24,17.5
7,Timo Horn,de GER,GK,Köln,26,1993,34.0,34.0,3060.0,69.0,2.03,152.0,87.0,0.572,10.0,6.0,18.0,6.0,17.6,6.0,4.0,2.0,0.0,34.0,1.0,11.0,2.0,53.2,0.32,-13.8,-0.41,312.0,630.0,49.5,892.0,99.0,53.9,42.2,298.0,50.0,40.7,270.0,18.0,6.7,14.0,0.41,14.1
8,Lukáš Hrádecký,fi FIN,GK,Leverkusen,29,1989,34.0,34.0,3060.0,44.0,1.29,137.0,92.0,0.693,19.0,6.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,1.0,6.0,0.0,48.8,0.35,4.8,0.14,261.0,604.0,43.2,1362.0,205.0,37.0,35.7,234.0,42.7,38.9,218.0,21.0,9.6,29.0,0.85,15.8
9,Jannik Huth,de GER,GK,Paderborn 07,25,1994,6.0,6.0,540.0,17.0,2.83,32.0,16.0,0.5,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,11.7,0.34,-5.3,-0.88,34.0,83.0,41.0,205.0,37.0,33.7,34.0,49.0,28.6,33.4,43.0,4.0,9.3,4.0,0.67,15.9
10,Rune Jarstein,no NOR,GK,Hertha BSC,34,1984,29.0,29.0,2547.0,46.0,1.63,131.0,94.0,0.702,11.0,5.0,13.0,9.0,31.0,7.0,7.0,0.0,0.0,28.3,3.0,6.0,2.0,38.4,0.25,-5.6,-0.2,290.0,620.0,46.8,786.0,122.0,57.6,43.1,221.0,75.6,53.5,281.0,27.0,9.6,16.0,0.57,12.9
11,Stefanos Kapino,gr GRE,GK,Werder Bremen,25,1994,1.0,1.0,90.0,2.0,2.0,5.0,3.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.29,-0.6,-0.57,9.0,18.0,50.0,25.0,8.0,48.0,40.0,9.0,66.7,45.6,19.0,0.0,0.0,1.0,1.0,13.4
12,Florian Kastenmeier,de GER,GK,Düsseldorf,23,1996,17.0,17.0,1530.0,31.0,1.82,76.0,50.0,0.618,2.0,9.0,6.0,2.0,11.8,3.0,2.0,1.0,0.0,17.0,0.0,3.0,3.0,24.0,0.29,-4.0,-0.24,140.0,330.0,42.4,519.0,56.0,51.1,42.5,111.0,58.6,48.3,105.0,4.0,3.8,14.0,0.82,15.5
13,Tomáš Koubek,cz CZE,GK,Augsburg,26,1992,24.0,24.0,2160.0,51.0,2.12,122.0,72.0,0.582,6.0,6.0,12.0,4.0,16.7,1.0,0.0,1.0,0.0,24.0,0.0,4.0,2.0,45.0,0.37,-4.0,-0.17,162.0,494.0,32.8,628.0,103.0,54.1,45.2,212.0,72.6,57.3,231.0,15.0,6.5,23.0,0.96,15.5
14,Thomas Kraft,de GER,GK,Hertha BSC,31,1988,4.0,4.0,360.0,9.0,2.25,20.0,11.0,0.55,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7.1,0.35,-1.9,-0.48,38.0,88.0,43.2,96.0,15.0,64.6,45.4,33.0,78.8,55.3,44.0,2.0,4.5,4.0,1.0,17.2
15,Andreas Luthe,de GER,GK,Augsburg,32,1987,10.0,10.0,900.0,12.0,1.2,35.0,23.0,0.657,3.0,3.0,4.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,14.0,0.42,3.0,0.3,71.0,190.0,37.4,328.0,50.0,43.6,39.3,91.0,51.6,43.0,113.0,12.0,10.6,4.0,0.4,13.2
16,Florian Müller,de GER,GK,Mainz 05,21,1997,13.0,12.0,1125.0,25.0,2.0,64.0,41.0,0.641,3.0,2.0,7.0,2.0,16.7,3.0,2.0,1.0,0.0,12.5,2.0,2.0,0.0,23.4,0.34,-1.6,-0.13,88.0,215.0,40.9,363.0,77.0,38.3,36.6,119.0,63.9,50.2,116.0,8.0,6.9,14.0,1.12,16.0
17,Yvon Mvogo,ch SUI,GK,RB Leipzig,25,1994,2.0,2.0,180.0,3.0,1.5,5.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.32,-1.4,-0.7,7.0,18.0,38.9,69.0,9.0,21.7,29.7,10.0,30.0,29.4,13.0,1.0,7.7,2.0,1.0,16.1
18,Manuel Neuer,de GER,GK,Bayern Munich,33,1986,33.0,33.0,2970.0,31.0,0.94,111.0,84.0,0.748,25.0,4.0,4.0,15.0,45.5,4.0,3.0,1.0,0.0,33.0,0.0,6.0,1.0,32.6,0.27,2.6,0.08,218.0,370.0,58.9,1267.0,201.0,26.0,30.1,179.0,22.3,29.0,195.0,13.0,6.7,54.0,1.64,19.3
19,Moritz Nicolas,de GER,GK,Union Berlin,21,1997,1.0,1.0,90.0,4.0,4.0,8.0,4.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.9,0.36,-1.1,-1.15,8.0,20.0,40.0,29.0,0.0,55.2,44.7,7.0,57.1,48.9,4.0,0.0,0.0,1.0,1.0,13.7
20,Alexander Nübel,de GER,GK,Schalke 04,22,1996,26.0,26.0,2315.0,40.0,1.56,114.0,79.0,0.684,8.0,9.0,9.0,6.0,23.1,4.0,4.0,0.0,0.0,25.7,1.0,6.0,2.0,37.1,0.3,-0.9,-0.03,169.0,443.0,38.1,802.0,111.0,39.7,37.9,207.0,60.4,47.1,214.0,10.0,4.7,16.0,0.62,14.6
