,squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Augsburg,28.0,38.1,34.0,374.0,3060.0,45.0,29.0,3.0,5.0,68.0,2.0,1.32,0.85,2.18,1.24,2.09,42.0,38.2,26.1,1.23,0.77,2.0,1.12,1.89,34.0,34.0,3060.0,63.0,1.85,157.0,95.0,0.599,9.0,9.0,16.0,7.0,20.6,1.0,0.0,1.0,0.0,34.0,0.0,4.0,3.0,59.0,0.38,-1.0,-0.03,233.0,684.0,34.1,956.0,153.0,50.5,43.2,303.0,66.3,53.0,344.0,27.0,7.8,27.0,0.79,14.8,358.0,128.0,24.0,35.8,10.53,3.76,0.12,0.33,0.11,3.0,3.8,8618.0,12212.0,70.6,182217.0,70964.0,189.0,606.0,31.2,5969.0,7308.0,81.7,2460.0,4298.0,57.2,2.9,241.0,567.0,170.0,45.0,1138.0,10465.0,1747.0,443.0,36.0,2242.0,420.0,475.0,133.0,39.0,55.0,24.0,6265.0,2321.0,3626.0,2948.0,7139.0,710.0,772.0,226.0,71.0,325.0,213.0,437.0,510.0,15.0,336.0,60.0,41.0,30.0,43.0,64.0,1.88,42.0,3.0,7.0,4.0,8.0,0.0,549.0,331.0,276.0,212.0,61.0,190.0,632.0,30.1,442.0,5650.0,1440.0,25.5,1792.0,2624.0,1234.0,574.0,137.0,7.0,437.0,435.0,971.0,7.0,16354.0,2509.0,6700.0,7045.0,3534.0,569.0,14630.0,251.0,488.0,51.4,284.0,19.0,9156.0,55661.0,29047.0,11083.0,8618.0,77.8,424.0,390.0,2.0,378.0,384.0,81.0,4.0,1.0,3.0,3134.0,554.0,629.0,46.8
1,Bayern Munich,29.0,65.6,34.0,374.0,3060.0,97.0,75.0,6.0,6.0,54.0,3.0,2.85,2.21,5.06,2.68,4.88,82.0,77.5,63.9,2.41,1.88,4.29,2.28,4.16,34.0,34.0,3060.0,32.0,0.94,114.0,86.0,0.746,26.0,4.0,4.0,15.0,44.1,4.0,3.0,1.0,0.0,34.0,0.0,6.0,1.0,34.1,0.28,3.1,0.09,225.0,383.0,58.7,1309.0,206.0,26.1,30.0,189.0,22.2,28.8,205.0,14.0,6.8,55.0,1.62,19.0,611.0,241.0,13.0,39.4,17.97,7.09,0.15,0.38,0.13,15.0,13.5,20739.0,24238.0,85.6,413571.0,128633.0,276.0,725.0,38.1,15266.0,16853.0,90.6,5197.0,6660.0,78.0,11.1,474.0,1781.0,510.0,128.0,2316.0,22531.0,1707.0,444.0,66.0,3595.0,702.0,853.0,239.0,72.0,84.0,35.0,17273.0,3476.0,3489.0,6843.0,15300.0,707.0,769.0,322.0,68.0,316.0,352.0,488.0,990.0,29.12,778.0,70.0,60.0,46.0,35.0,166.0,4.88,130.0,7.0,12.0,7.0,9.0,1.0,554.0,369.0,194.0,256.0,104.0,186.0,554.0,33.6,368.0,4912.0,1707.0,34.8,1119.0,2169.0,1624.0,461.0,89.0,1.0,372.0,352.0,565.0,3.0,28045.0,2149.0,7738.0,14374.0,7804.0,1318.0,26380.0,522.0,834.0,62.6,566.0,28.0,20157.0,112338.0,60763.0,23352.0,20739.0,88.8,446.0,379.0,2.0,322.0,355.0,78.0,6.0,3.0,1.0,3429.0,470.0,387.0,54.8
2,Dortmund,27.0,61.0,34.0,374.0,3060.0,84.0,74.0,2.0,2.0,49.0,1.0,2.47,2.18,4.65,2.41,4.59,59.1,57.9,47.1,1.74,1.38,3.12,1.7,3.09,34.0,34.0,3060.0,41.0,1.21,100.0,65.0,0.62,21.0,6.0,7.0,15.0,44.1,3.0,3.0,0.0,0.0,34.0,0.0,8.0,3.0,37.6,0.36,-0.4,-0.01,125.0,344.0,36.3,918.0,195.0,29.0,32.7,229.0,34.1,34.9,242.0,17.0,7.0,31.0,0.91,15.0,443.0,186.0,14.0,42.0,13.03,5.47,0.19,0.44,0.13,24.9,24.1,20781.0,24010.0,86.6,385238.0,111587.0,355.0,809.0,43.9,16003.0,17503.0,91.4,4423.0,5698.0,77.6,26.9,347.0,1275.0,329.0,54.0,1696.0,22415.0,1595.0,410.0,51.0,3544.0,632.0,509.0,188.0,48.0,77.0,18.0,17836.0,3350.0,2824.0,6454.0,15710.0,625.0,693.0,291.0,44.0,292.0,363.0,469.0,726.0,21.35,556.0,58.0,49.0,40.0,23.0,152.0,4.47,128.0,5.0,12.0,6.0,1.0,0.0,596.0,401.0,276.0,250.0,70.0,221.0,550.0,40.2,329.0,5196.0,1676.0,32.3,1475.0,2389.0,1332.0,519.0,106.0,4.0,413.0,380.0,604.0,11.0,27903.0,2183.0,8548.0,14302.0,6859.0,980.0,26352.0,504.0,829.0,60.8,546.0,40.0,20140.0,109153.0,58150.0,23240.0,20781.0,89.4,437.0,420.0,1.0,305.0,328.0,56.0,1.0,3.0,3.0,3136.0,378.0,364.0,50.9
3,Düsseldorf,28.0,45.4,34.0,374.0,3060.0,36.0,26.0,4.0,4.0,78.0,0.0,1.06,0.76,1.82,0.94,1.71,33.1,30.1,21.9,0.97,0.65,1.62,0.89,1.53,34.0,34.0,3060.0,67.0,1.97,171.0,111.0,0.626,6.0,12.0,16.0,4.0,11.8,5.0,3.0,2.0,0.0,34.0,1.0,9.0,4.0,55.8,0.31,-7.2,-0.21,296.0,657.0,45.1,996.0,157.0,49.9,42.2,254.0,63.0,52.2,250.0,13.0,5.2,25.0,0.74,14.6,424.0,114.0,20.0,26.9,12.47,3.35,0.08,0.28,0.07,2.9,1.9,11477.0,15049.0,76.3,251281.0,89856.0,191.0,577.0,33.1,7711.0,9113.0,84.6,3575.0,5359.0,66.7,4.1,291.0,870.0,222.0,79.0,1422.0,13318.0,1731.0,496.0,23.0,2677.0,651.0,710.0,149.0,29.0,79.0,18.0,8552.0,2649.0,3848.0,4089.0,8776.0,770.0,731.0,262.0,52.0,348.0,218.0,419.0,613.0,18.03,416.0,70.0,50.0,28.0,49.0,56.0,1.65,40.0,6.0,3.0,3.0,4.0,0.0,556.0,347.0,285.0,210.0,61.0,202.0,591.0,34.2,389.0,5501.0,1613.0,29.3,1787.0,2599.0,1115.0,557.0,117.0,4.0,440.0,381.0,759.0,10.0,18884.0,2196.0,6990.0,8308.0,4638.0,626.0,17185.0,294.0,489.0,60.1,314.0,10.0,11510.0,62821.0,34740.0,13975.0,11477.0,82.1,413.0,362.0,0.0,407.0,430.0,56.0,3.0,5.0,4.0,3089.0,567.0,639.0,47.0
4,Eint Frankfurt,27.0,51.0,34.0,374.0,3060.0,57.0,45.0,2.0,2.0,71.0,4.0,1.68,1.32,3.0,1.62,2.94,52.5,51.0,38.3,1.54,1.13,2.67,1.5,2.63,34.0,34.0,3060.0,60.0,1.76,172.0,117.0,0.669,13.0,6.0,15.0,5.0,14.7,3.0,3.0,0.0,0.0,34.0,1.0,5.0,2.0,53.9,0.3,-4.1,-0.12,296.0,642.0,46.1,1155.0,142.0,45.5,38.0,231.0,50.6,42.6,268.0,24.0,9.0,28.0,0.82,14.9,492.0,173.0,17.0,35.2,14.47,5.09,0.11,0.32,0.11,4.5,4.0,12408.0,16463.0,75.4,256791.0,97578.0,209.0,686.0,30.5,8806.0,10530.0,83.6,3393.0,5247.0,64.7,6.7,361.0,1015.0,279.0,118.0,1716.0,14655.0,1808.0,458.0,25.0,3000.0,484.0,894.0,214.0,56.0,112.0,18.0,9227.0,3028.0,4208.0,4907.0,9105.0,863.0,811.0,244.0,47.0,332.0,255.0,532.0,746.0,21.94,517.0,84.0,51.0,53.0,39.0,96.0,2.82,57.0,15.0,7.0,13.0,2.0,2.0,679.0,444.0,311.0,289.0,79.0,207.0,630.0,32.9,423.0,5909.0,1837.0,31.1,1890.0,2636.0,1383.0,583.0,109.0,6.0,474.0,383.0,761.0,5.0,20518.0,2148.0,6654.0,10030.0,5131.0,844.0,18763.0,346.0,568.0,60.9,367.0,19.0,12398.0,75997.0,42392.0,15261.0,12408.0,81.3,412.0,361.0,2.0,424.0,369.0,57.0,1.0,3.0,2.0,3584.0,701.0,635.0,52.5
5,Freiburg,26.0,47.9,34.0,374.0,3060.0,46.0,27.0,5.0,6.0,43.0,2.0,1.35,0.79,2.15,1.21,2.0,41.8,37.3,27.8,1.23,0.82,2.05,1.1,1.91,34.0,34.0,3060.0,47.0,1.38,188.0,140.0,0.766,13.0,9.0,12.0,7.0,20.6,4.0,3.0,0.0,1.0,34.0,0.0,6.0,0.0,48.8,0.25,1.8,0.05,262.0,692.0,37.9,1088.0,167.0,41.1,38.4,367.0,66.8,55.5,315.0,18.0,5.7,13.0,0.38,13.0,435.0,140.0,26.0,32.2,12.79,4.12,0.09,0.29,0.09,4.2,3.7,12089.0,15471.0,78.1,258770.0,88914.0,211.0,610.0,34.6,8290.0,9602.0,86.3,3588.0,5259.0,68.2,-0.8,301.0,830.0,245.0,97.0,1367.0,13647.0,1824.0,460.0,25.0,2822.0,480.0,653.0,151.0,87.0,32.0,13.0,9241.0,2620.0,3610.0,4547.0,8783.0,683.0,765.0,281.0,50.0,292.0,220.0,447.0,665.0,19.56,450.0,83.0,40.0,37.0,53.0,73.0,2.15,37.0,9.0,7.0,5.0,13.0,2.0,513.0,308.0,263.0,190.0,60.0,141.0,507.0,27.8,366.0,4798.0,1264.0,26.3,1666.0,2067.0,1065.0,561.0,168.0,3.0,393.0,361.0,1019.0,12.0,19652.0,2772.0,7746.0,8667.0,4539.0,733.0,17866.0,277.0,485.0,57.1,295.0,16.0,12225.0,76432.0,41750.0,14286.0,12093.0,84.6,409.0,387.0,1.0,329.0,437.0,56.0,5.0,4.0,0.0,2926.0,626.0,660.0,48.7
6,Hertha BSC,32.0,44.7,34.0,374.0,3060.0,46.0,35.0,3.0,3.0,77.0,4.0,1.35,1.03,2.38,1.26,2.29,40.4,38.1,29.1,1.19,0.86,2.04,1.12,1.98,34.0,34.0,3058.0,59.0,1.74,162.0,112.0,0.679,11.0,8.0,15.0,9.0,26.5,7.0,7.0,0.0,0.0,34.0,3.0,9.0,2.0,49.2,0.26,-7.8,-0.23,341.0,739.0,46.1,936.0,146.0,57.2,42.9,270.0,75.6,53.5,338.0,31.0,9.2,22.0,0.65,13.5,359.0,120.0,12.0,33.4,10.56,3.53,0.12,0.36,0.11,5.6,4.9,11479.0,14844.0,77.3,248980.0,86418.0,200.0,601.0,33.3,7781.0,9099.0,85.5,3498.0,5144.0,68.0,5.9,267.0,822.0,186.0,74.0,1232.0,13187.0,1657.0,428.0,23.0,2497.0,560.0,524.0,125.0,31.0,73.0,9.0,8714.0,2520.0,3610.0,4365.0,8365.0,650.0,741.0,258.0,49.0,283.0,200.0,425.0,556.0,16.35,391.0,57.0,46.0,29.0,31.0,80.0,2.35,50.0,7.0,11.0,6.0,4.0,2.0,615.0,359.0,313.0,228.0,74.0,190.0,580.0,32.8,390.0,5757.0,1571.0,27.3,2029.0,2531.0,1197.0,652.0,142.0,4.0,510.0,394.0,985.0,17.0,19059.0,2390.0,7281.0,8956.0,4051.0,569.0,17469.0,391.0,594.0,65.8,412.0,18.0,11846.0,73288.0,39870.0,13820.0,11479.0,83.1,444.0,401.0,2.0,464.0,350.0,57.0,3.0,7.0,2.0,2949.0,628.0,556.0,53.0
7,Hoffenheim,31.0,51.9,34.0,374.0,3060.0,52.0,36.0,3.0,4.0,66.0,2.0,1.53,1.06,2.59,1.44,2.5,49.7,46.7,33.4,1.46,0.98,2.45,1.37,2.36,34.0,34.0,3060.0,53.0,1.56,163.0,117.0,0.712,15.0,7.0,12.0,8.0,23.5,8.0,6.0,2.0,0.0,34.0,0.0,4.0,2.0,48.3,0.26,-2.7,-0.08,183.0,490.0,37.3,1171.0,204.0,32.1,32.8,294.0,38.8,36.7,355.0,19.0,5.4,41.0,1.21,15.4,443.0,154.0,24.0,34.8,13.03,4.53,0.11,0.32,0.11,2.3,2.3,14591.0,17964.0,81.2,285849.0,98111.0,228.0,641.0,35.6,10920.0,12267.0,89.0,3443.0,5056.0,68.1,2.6,333.0,894.0,276.0,86.0,1486.0,16238.0,1726.0,473.0,39.0,3388.0,413.0,584.0,174.0,43.0,97.0,20.0,11735.0,2801.0,3428.0,4188.0,11700.0,679.0,698.0,320.0,51.0,300.0,215.0,432.0,698.0,20.53,481.0,76.0,48.0,43.0,49.0,82.0,2.41,54.0,7.0,7.0,10.0,3.0,1.0,591.0,353.0,335.0,201.0,55.0,224.0,585.0,38.3,361.0,4665.0,1376.0,29.5,1664.0,1973.0,1028.0,595.0,141.0,5.0,454.0,345.0,858.0,4.0,22071.0,2697.0,8705.0,10203.0,4512.0,780.0,20394.0,309.0,535.0,57.8,331.0,15.0,13902.0,77383.0,42343.0,16826.0,14591.0,86.7,417.0,411.0,1.0,383.0,415.0,61.0,3.0,8.0,2.0,3038.0,557.0,539.0,50.8
8,Köln,29.0,46.7,34.0,374.0,3060.0,50.0,38.0,2.0,4.0,79.0,4.0,1.47,1.12,2.59,1.41,2.53,47.1,44.4,31.7,1.38,0.93,2.32,1.31,2.24,34.0,34.0,3060.0,69.0,2.03,152.0,87.0,0.572,10.0,6.0,18.0,6.0,17.6,6.0,4.0,2.0,0.0,34.0,1.0,11.0,2.0,53.2,0.32,-13.8,-0.41,312.0,630.0,49.5,892.0,99.0,53.9,42.2,298.0,50.0,40.7,270.0,18.0,6.7,14.0,0.41,14.1,414.0,147.0,20.0,35.5,12.18,4.32,0.12,0.33,0.11,2.9,3.6,11293.0,14921.0,75.7,246632.0,93072.0,153.0,518.0,29.5,7586.0,9037.0,83.9,3554.0,5366.0,66.2,6.3,295.0,824.0,264.0,86.0,1443.0,13129.0,1792.0,479.0,26.0,2897.0,456.0,711.0,175.0,74.0,67.0,18.0,8445.0,2458.0,4018.0,5177.0,7609.0,741.0,737.0,183.0,65.0,322.0,237.0,413.0,631.0,18.56,441.0,73.0,41.0,34.0,41.0,81.0,2.38,50.0,7.0,8.0,8.0,7.0,1.0,671.0,422.0,347.0,256.0,68.0,213.0,584.0,36.5,371.0,6326.0,1829.0,28.9,2134.0,2851.0,1341.0,592.0,113.0,2.0,479.0,426.0,946.0,4.0,19176.0,2370.0,7269.0,8595.0,4453.0,682.0,17445.0,291.0,495.0,58.8,315.0,12.0,11332.0,67700.0,34899.0,13813.0,11293.0,81.8,489.0,352.0,1.0,486.0,436.0,75.0,3.0,5.0,2.0,3194.0,658.0,673.0,49.4
9,Leverkusen,24.0,63.8,34.0,374.0,3060.0,57.0,48.0,2.0,2.0,61.0,6.0,1.68,1.41,3.09,1.62,3.03,56.6,55.1,45.1,1.67,1.33,2.99,1.62,2.95,34.0,34.0,3060.0,44.0,1.29,137.0,92.0,0.693,19.0,6.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,1.0,6.0,0.0,48.8,0.35,4.8,0.14,261.0,604.0,43.2,1362.0,205.0,37.0,35.7,234.0,42.7,38.9,218.0,21.0,9.6,29.0,0.85,15.8,490.0,183.0,4.0,37.3,14.41,5.38,0.11,0.3,0.12,0.4,-0.1,19160.0,22816.0,84.0,375504.0,114251.0,316.0,797.0,39.6,14179.0,15753.0,90.0,4665.0,6266.0,74.4,2.9,383.0,1164.0,263.0,64.0,1733.0,21030.0,1786.0,476.0,55.0,3927.0,549.0,717.0,215.0,99.0,66.0,32.0,16067.0,3382.0,3367.0,7615.0,13160.0,610.0,784.0,312.0,79.0,291.0,344.0,519.0,775.0,22.79,569.0,81.0,55.0,42.0,25.0,107.0,3.15,77.0,8.0,9.0,5.0,5.0,3.0,614.0,382.0,274.0,263.0,77.0,219.0,605.0,36.2,386.0,5202.0,1774.0,34.1,1530.0,2437.0,1235.0,553.0,93.0,2.0,460.0,330.0,750.0,9.0,26975.0,2466.0,8622.0,14296.0,5839.0,922.0,25265.0,472.0,758.0,62.3,505.0,34.0,18798.0,103259.0,53109.0,21880.0,19160.0,87.6,460.0,450.0,3.0,393.0,371.0,91.0,2.0,2.0,0.0,3437.0,526.0,507.0,50.9
