,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,11.0,9.0,900.0,17.0,1.7,46.0,29.0,0.63,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,13.2,0.29,-2.8,-0.28,61.0,145.0,42.1,246.0,54.0,37.8,35.9,81.0,64.2,49.2,89.0,8.0,9.0,5.0,0.5,14.1
1,Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3.0,3.0,270.0,2.0,0.67,4.0,2.0,0.5,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.8,0.46,-0.2,-0.05,3.0,4.0,75.0,48.0,9.0,4.2,20.0,10.0,20.0,24.5,15.0,0.0,0.0,6.0,2.0,23.8
2,Stefan Bajic,fr FRA,GK,Saint-Étienne,17,2001,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.14,-0.7,-0.72,3.0,3.0,100.0,11.0,4.0,0.0,21.1,8.0,37.5,34.8,6.0,0.0,0.0,2.0,2.0,20.4
3,Walter Benítez,ar ARG,GK,Nice,26,1993,26.0,26.0,2340.0,36.0,1.38,129.0,99.0,0.752,9.0,8.0,9.0,4.0,15.4,6.0,4.0,1.0,1.0,26.0,0.0,7.0,2.0,44.4,0.32,10.4,0.4,87.0,203.0,42.9,573.0,132.0,22.7,27.6,212.0,34.4,34.0,254.0,18.0,7.1,9.0,0.35,14.0
4,Paul Bernardoni,fr FRA,GK,Nîmes,22,1997,25.0,25.0,2204.0,38.0,1.55,102.0,69.0,0.667,7.0,4.0,14.0,6.0,24.0,4.0,4.0,0.0,0.0,24.5,0.0,3.0,1.0,32.1,0.3,-4.9,-0.2,134.0,407.0,32.9,528.0,77.0,51.3,42.4,176.0,77.3,55.5,166.0,14.0,8.4,14.0,0.57,15.2
5,Dimitry Bertaud,fr FRA,GK,Montpellier,21,1998,3.0,3.0,196.0,3.0,1.38,6.0,3.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.6,0.26,-1.4,-0.66,15.0,23.0,65.2,49.0,19.0,32.7,31.5,18.0,38.9,39.4,13.0,1.0,7.7,2.0,0.92,14.3
6,Ludovic Butelle,fr FRA,GK,Angers,36,1983,26.0,26.0,2340.0,32.0,1.23,78.0,50.0,0.628,10.0,6.0,10.0,11.0,42.3,3.0,3.0,0.0,0.0,26.0,1.0,1.0,1.0,23.9,0.27,-7.1,-0.27,149.0,384.0,38.8,493.0,114.0,47.5,39.8,203.0,73.9,52.5,185.0,15.0,8.1,21.0,0.81,14.9
7,Marcin Bułka,pl POL,GK,Paris S-G,19,1999,1.0,1.0,90.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.1,0.2,0.21,0.0,0.0,0.0,12.0,3.0,0.0,18.6,6.0,0.0,23.5,5.0,0.0,0.0,0.0,0.0,6.5
8,Matis Carvalho,pt POR,GK,Montpellier,20,1999,1.0,0.0,71.0,4.0,5.07,8.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,1.9,0.24,-1.1,-1.43,2.0,16.0,12.5,18.0,3.0,55.6,49.2,9.0,66.7,50.0,3.0,1.0,33.3,0.0,0.0,15.5
9,Yannis Clementia,fr FRA,GK,Nice,22,1997,2.0,2.0,180.0,2.0,1.0,6.0,5.0,0.833,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.19,-0.1,-0.03,3.0,23.0,13.0,47.0,16.0,29.8,33.3,14.0,64.3,50.6,28.0,0.0,0.0,0.0,0.0,10.8
