,squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Amiens,27.0,45.5,28.0,308.0,2520.0,31.0,20.0,3.0,5.0,57.0,4.0,1.11,0.71,1.82,1.0,1.71,26.9,22.9,16.7,0.96,0.6,1.56,0.82,1.42,28.0,28.0,2520.0,50.0,1.79,140.0,92.0,0.65,4.0,11.0,13.0,5.0,17.9,1.0,1.0,0.0,0.0,28.0,1.0,13.0,1.0,41.1,0.29,-7.9,-0.28,231.0,521.0,44.3,567.0,95.0,55.7,43.6,254.0,80.7,55.4,269.0,15.0,5.6,11.0,0.39,13.7,229.0,77.0,13.0,33.6,8.18,2.75,0.12,0.36,0.1,4.1,5.1,9607.0,12449.0,77.2,184045.0,69849.0,213.0,520.0,41.0,7216.0,8396.0,85.9,2178.0,3533.0,61.6,3.3,159.0,721.0,137.0,41.0,1198.0,11002.0,1447.0,345.0,20.0,2207.0,344.0,447.0,106.0,46.0,30.0,6.0,7618.0,1969.0,2862.0,3933.0,6820.0,508.0,666.0,169.0,31.0,259.0,215.0,332.0,351.0,12.54,256.0,27.0,28.0,11.0,29.0,50.0,1.79,34.0,0.0,6.0,4.0,6.0,0.0,474.0,320.0,221.0,209.0,44.0,178.0,545.0,32.7,367.0,4946.0,1350.0,27.3,1521.0,2436.0,989.0,456.0,106.0,3.0,350.0,306.0,815.0,9.0,15903.0,1660.0,4991.0,8238.0,3582.0,415.0,14501.0,283.0,476.0,59.5,317.0,20.0,9853.0,53381.0,28763.0,11622.0,9628.0,82.8,409.0,426.0,2.0,403.0,320.0,36.0,5.0,1.0,1.0,2425.0,456.0,523.0,46.6
1,Angers,26.0,45.1,28.0,308.0,2520.0,27.0,21.0,1.0,1.0,42.0,2.0,0.96,0.75,1.71,0.93,1.68,27.0,26.2,20.2,0.96,0.72,1.68,0.94,1.66,28.0,28.0,2520.0,33.0,1.18,85.0,56.0,0.647,11.0,6.0,11.0,12.0,42.9,3.0,3.0,0.0,0.0,28.0,1.0,1.0,1.0,25.1,0.27,-6.9,-0.24,162.0,412.0,39.3,528.0,124.0,47.3,39.8,222.0,73.0,52.4,215.0,17.0,7.9,22.0,0.79,14.8,367.0,112.0,16.0,30.5,13.11,4.0,0.07,0.23,0.07,0.0,-0.2,10616.0,13346.0,79.5,203847.0,74730.0,166.0,492.0,33.7,7975.0,9048.0,88.1,2475.0,3806.0,65.0,0.8,261.0,751.0,204.0,62.0,1214.0,11917.0,1429.0,357.0,25.0,2066.0,378.0,543.0,146.0,39.0,83.0,15.0,8445.0,2088.0,2813.0,4679.0,7075.0,473.0,643.0,185.0,24.0,224.0,241.0,337.0,544.0,19.43,400.0,57.0,35.0,23.0,28.0,48.0,1.71,36.0,2.0,3.0,3.0,3.0,1.0,502.0,320.0,230.0,209.0,63.0,172.0,557.0,30.9,385.0,5169.0,1427.0,27.6,1635.0,2535.0,999.0,421.0,59.0,1.0,362.0,254.0,690.0,8.0,16741.0,1448.0,5350.0,8130.0,4356.0,592.0,15332.0,344.0,558.0,61.6,367.0,26.0,10806.0,62209.0,34352.0,12508.0,10616.0,84.9,386.0,358.0,1.0,336.0,315.0,28.0,1.0,3.0,1.0,2494.0,445.0,445.0,50.0
2,Bordeaux,26.0,53.9,28.0,308.0,2520.0,40.0,29.0,2.0,2.0,55.0,0.0,1.43,1.04,2.46,1.36,2.39,30.1,28.6,21.6,1.08,0.77,1.85,1.02,1.8,28.0,28.0,2520.0,34.0,1.21,106.0,75.0,0.698,9.0,10.0,9.0,6.0,21.4,3.0,2.0,1.0,0.0,28.0,0.0,4.0,1.0,31.1,0.27,-1.9,-0.07,208.0,447.0,46.5,642.0,96.0,48.0,38.9,244.0,57.0,44.1,273.0,16.0,5.9,16.0,0.57,14.5,309.0,109.0,20.0,35.3,11.04,3.89,0.12,0.35,0.09,9.9,9.4,12352.0,14977.0,82.5,242901.0,77577.0,125.0,395.0,31.6,9405.0,10519.0,89.4,2822.0,4063.0,69.5,7.4,210.0,716.0,125.0,33.0,1037.0,13597.0,1380.0,393.0,23.0,2893.0,365.0,424.0,137.0,60.0,44.0,23.0,10567.0,1794.0,2616.0,3215.0,10273.0,485.0,543.0,164.0,35.0,240.0,222.0,298.0,438.0,15.64,307.0,46.0,26.0,22.0,37.0,58.0,2.07,33.0,7.0,6.0,7.0,5.0,0.0,538.0,347.0,265.0,218.0,55.0,198.0,577.0,34.3,379.0,4725.0,1389.0,29.4,1379.0,2361.0,985.0,420.0,101.0,0.0,319.0,302.0,712.0,7.0,18354.0,1879.0,6061.0,10294.0,3160.0,431.0,17004.0,283.0,479.0,59.1,314.0,15.0,12388.0,68379.0,35737.0,14141.0,12352.0,87.3,358.0,401.0,0.0,379.0,363.0,40.0,1.0,3.0,1.0,2400.0,468.0,429.0,52.2
3,Brest,24.0,49.7,28.0,308.0,2520.0,32.0,27.0,1.0,5.0,45.0,2.0,1.14,0.96,2.11,1.11,2.07,30.2,26.4,21.0,1.08,0.75,1.83,0.94,1.69,28.0,28.0,2520.0,37.0,1.32,138.0,103.0,0.761,8.0,10.0,10.0,8.0,28.6,6.0,4.0,1.0,1.0,28.0,0.0,5.0,0.0,43.1,0.28,6.1,0.22,189.0,469.0,40.3,828.0,150.0,43.5,39.3,241.0,45.2,39.2,321.0,28.0,8.7,19.0,0.68,14.3,321.0,96.0,6.0,29.9,11.46,3.43,0.1,0.32,0.08,1.8,4.6,11090.0,13961.0,79.4,226492.0,74524.0,159.0,486.0,32.7,7898.0,8988.0,87.9,3033.0,4487.0,67.6,6.0,243.0,736.0,214.0,71.0,1221.0,12482.0,1479.0,339.0,23.0,2409.0,499.0,517.0,115.0,56.0,30.0,5.0,8729.0,2323.0,2909.0,3434.0,8819.0,483.0,719.0,221.0,29.0,275.0,226.0,340.0,488.0,17.43,384.0,45.0,18.0,18.0,21.0,56.0,2.0,42.0,5.0,1.0,5.0,1.0,2.0,554.0,356.0,268.0,222.0,64.0,165.0,506.0,32.6,341.0,4469.0,1284.0,28.7,1527.0,2015.0,927.0,452.0,97.0,2.0,355.0,348.0,759.0,10.0,17433.0,2165.0,6599.0,7977.0,3966.0,528.0,15987.0,229.0,412.0,55.6,248.0,16.0,11199.0,63496.0,33907.0,13039.0,11090.0,85.1,378.0,335.0,0.0,329.0,286.0,35.0,4.0,6.0,0.0,2444.0,402.0,449.0,47.2
4,Dijon,28.0,46.5,28.0,308.0,2520.0,26.0,17.0,1.0,1.0,43.0,2.0,0.93,0.61,1.54,0.89,1.5,28.7,28.0,21.1,1.02,0.75,1.78,1.0,1.75,28.0,28.0,2520.0,37.0,1.32,129.0,94.0,0.721,7.0,9.0,12.0,6.0,21.4,1.0,1.0,0.0,0.0,28.0,2.0,5.0,2.0,35.7,0.27,0.7,0.02,230.0,522.0,44.1,809.0,166.0,44.5,38.6,249.0,65.1,48.5,280.0,35.0,12.5,10.0,0.36,13.2,337.0,99.0,11.0,29.4,12.04,3.54,0.07,0.25,0.08,-2.7,-3.0,10176.0,12893.0,78.9,210506.0,76254.0,167.0,460.0,36.3,7222.0,8282.0,87.2,2787.0,4151.0,67.1,-4.1,238.0,653.0,179.0,43.0,1057.0,11455.0,1438.0,384.0,19.0,2235.0,397.0,442.0,121.0,34.0,54.0,16.0,8103.0,1931.0,2859.0,3537.0,7649.0,457.0,617.0,252.0,28.0,236.0,225.0,313.0,497.0,17.75,339.0,66.0,39.0,26.0,26.0,40.0,1.43,29.0,2.0,2.0,6.0,0.0,1.0,583.0,360.0,292.0,223.0,68.0,198.0,548.0,36.1,350.0,4745.0,1347.0,28.4,1624.0,2254.0,867.0,431.0,110.0,1.0,321.0,339.0,751.0,7.0,16420.0,1976.0,6250.0,7906.0,3324.0,538.0,15029.0,355.0,609.0,58.3,393.0,17.0,10406.0,63177.0,35127.0,12059.0,10180.0,84.4,351.0,392.0,0.0,351.0,335.0,32.0,0.0,1.0,2.0,2413.0,518.0,506.0,50.6
5,Lille,25.0,53.0,28.0,308.0,2520.0,35.0,25.0,5.0,8.0,49.0,3.0,1.25,0.89,2.14,1.07,1.96,39.6,33.5,24.8,1.42,0.89,2.3,1.2,2.08,28.0,28.0,2520.0,27.0,0.96,78.0,58.0,0.705,15.0,4.0,9.0,12.0,42.9,6.0,4.0,1.0,1.0,28.0,1.0,1.0,3.0,24.2,0.26,0.2,0.01,158.0,425.0,37.2,562.0,142.0,49.1,41.7,200.0,74.5,58.8,200.0,23.0,11.5,9.0,0.32,13.8,346.0,123.0,10.0,35.5,12.36,4.39,0.09,0.24,0.1,-4.6,-3.5,11307.0,14068.0,80.4,221646.0,71634.0,211.0,534.0,39.5,8382.0,9536.0,87.9,2714.0,3998.0,67.9,0.2,255.0,903.0,200.0,53.0,1219.0,12613.0,1455.0,388.0,25.0,2324.0,375.0,521.0,154.0,62.0,62.0,8.0,9374.0,2055.0,2639.0,4468.0,7926.0,506.0,658.0,211.0,55.0,266.0,199.0,356.0,551.0,19.68,374.0,59.0,56.0,31.0,31.0,55.0,1.96,37.0,5.0,4.0,4.0,5.0,0.0,497.0,324.0,203.0,235.0,59.0,209.0,569.0,36.7,360.0,4780.0,1432.0,30.0,1246.0,2292.0,1242.0,388.0,71.0,2.0,317.0,277.0,661.0,4.0,17366.0,1360.0,4522.0,9473.0,4563.0,615.0,15961.0,343.0,575.0,59.7,378.0,29.0,11627.0,70400.0,38685.0,13330.0,11307.0,84.8,373.0,371.0,2.0,384.0,343.0,60.0,7.0,6.0,3.0,2595.0,474.0,489.0,49.2
6,Lyon,27.0,56.4,28.0,308.0,2520.0,42.0,29.0,5.0,6.0,49.0,4.0,1.5,1.04,2.54,1.32,2.36,37.2,32.8,26.0,1.33,0.93,2.26,1.17,2.1,28.0,28.0,2520.0,27.0,0.96,96.0,73.0,0.74,11.0,7.0,10.0,9.0,32.1,3.0,2.0,0.0,1.0,28.0,1.0,2.0,3.0,25.7,0.25,1.7,0.06,142.0,285.0,49.8,685.0,155.0,29.9,32.0,192.0,41.7,38.2,228.0,18.0,7.9,17.0,0.61,15.0,351.0,124.0,15.0,35.3,12.54,4.43,0.11,0.3,0.1,4.8,4.2,13379.0,15881.0,84.2,265542.0,80755.0,202.0,502.0,40.2,9788.0,10871.0,90.0,3389.0,4508.0,75.2,3.0,265.0,894.0,210.0,56.0,1307.0,14547.0,1334.0,355.0,26.0,2647.0,492.0,490.0,129.0,66.0,28.0,3.0,11066.0,2243.0,2572.0,3736.0,10538.0,481.0,603.0,227.0,22.0,220.0,224.0,318.0,561.0,20.04,414.0,48.0,44.0,27.0,28.0,66.0,2.36,47.0,2.0,9.0,4.0,4.0,0.0,521.0,330.0,277.0,183.0,61.0,165.0,445.0,37.1,280.0,4267.0,1253.0,29.4,1433.0,1859.0,975.0,393.0,107.0,0.0,286.0,285.0,654.0,6.0,19252.0,1799.0,6086.0,10050.0,4470.0,599.0,17971.0,365.0,596.0,61.2,399.0,12.0,13296.0,76548.0,42753.0,15206.0,13379.0,88.0,399.0,388.0,1.0,342.0,310.0,26.0,4.0,2.0,3.0,2425.0,453.0,382.0,54.3
7,Marseille,23.0,54.0,28.0,308.0,2520.0,38.0,28.0,4.0,6.0,67.0,3.0,1.36,1.0,2.36,1.21,2.21,34.0,29.5,21.7,1.22,0.78,1.99,1.05,1.83,28.0,28.0,2520.0,29.0,1.04,97.0,75.0,0.742,16.0,8.0,4.0,11.0,39.3,5.0,4.0,1.0,0.0,28.0,0.0,2.0,3.0,29.7,0.27,3.7,0.13,141.0,414.0,34.1,739.0,141.0,43.2,39.5,156.0,60.9,48.1,204.0,15.0,7.4,20.0,0.71,14.7,371.0,113.0,19.0,30.5,13.25,4.04,0.09,0.3,0.08,4.0,4.5,12013.0,14652.0,82.0,230025.0,73283.0,246.0,553.0,44.5,9028.0,10132.0,89.1,2739.0,3967.0,69.0,6.3,270.0,860.0,200.0,61.0,1208.0,13251.0,1401.0,384.0,31.0,2289.0,394.0,501.0,151.0,42.0,67.0,24.0,9813.0,2262.0,2577.0,3112.0,9882.0,490.0,651.0,211.0,20.0,228.0,213.0,338.0,582.0,20.79,403.0,70.0,32.0,31.0,43.0,63.0,2.25,41.0,5.0,4.0,5.0,5.0,3.0,604.0,372.0,279.0,255.0,70.0,222.0,607.0,36.6,385.0,4467.0,1277.0,28.6,1202.0,2156.0,1109.0,413.0,71.0,0.0,342.0,317.0,701.0,6.0,18070.0,1611.0,5589.0,9191.0,4499.0,603.0,16705.0,324.0,565.0,57.3,351.0,17.0,11865.0,72272.0,40253.0,13979.0,12013.0,85.9,324.0,329.0,1.0,376.0,318.0,23.0,4.0,5.0,2.0,2398.0,474.0,439.0,51.9
8,Metz,24.0,45.3,28.0,308.0,2520.0,27.0,20.0,2.0,4.0,45.0,4.0,0.96,0.71,1.68,0.89,1.61,27.6,24.5,18.2,0.98,0.65,1.64,0.88,1.53,28.0,28.0,2520.0,35.0,1.25,132.0,101.0,0.765,8.0,10.0,10.0,8.0,28.6,4.0,4.0,0.0,0.0,28.0,0.0,6.0,0.0,37.6,0.26,2.6,0.09,235.0,666.0,35.3,711.0,117.0,66.0,49.4,220.0,89.5,64.6,292.0,36.0,12.3,28.0,1.0,15.7,305.0,93.0,19.0,30.5,10.89,3.32,0.08,0.27,0.08,-0.6,0.5,9634.0,12397.0,77.7,191954.0,65361.0,174.0,440.0,39.5,7107.0,8164.0,87.1,2353.0,3793.0,62.0,1.8,219.0,670.0,137.0,46.0,884.0,11061.0,1336.0,363.0,18.0,2173.0,319.0,440.0,117.0,47.0,44.0,13.0,7873.0,1682.0,2842.0,2580.0,8235.0,445.0,574.0,197.0,29.0,259.0,203.0,296.0,482.0,17.21,336.0,42.0,58.0,16.0,30.0,41.0,1.46,27.0,5.0,6.0,3.0,0.0,0.0,608.0,385.0,351.0,210.0,47.0,200.0,520.0,38.5,320.0,5078.0,1353.0,26.6,1835.0,2382.0,861.0,470.0,107.0,0.0,363.0,300.0,802.0,5.0,15988.0,1744.0,5744.0,7825.0,3513.0,419.0,14694.0,383.0,622.0,61.6,415.0,23.0,10379.0,65692.0,35402.0,11569.0,9634.0,83.3,375.0,350.0,0.0,337.0,344.0,29.0,2.0,4.0,0.0,2523.0,461.0,550.0,45.6
9,Monaco,28.0,50.8,28.0,308.0,2520.0,44.0,29.0,4.0,4.0,60.0,10.0,1.57,1.04,2.61,1.43,2.46,48.0,44.9,32.3,1.71,1.15,2.87,1.6,2.76,28.0,28.0,2520.0,44.0,1.57,132.0,95.0,0.712,11.0,7.0,10.0,7.0,25.0,6.0,6.0,0.0,0.0,28.0,0.0,8.0,1.0,41.0,0.28,-2.0,-0.07,175.0,378.0,46.3,639.0,136.0,39.9,36.6,209.0,58.9,45.1,250.0,26.0,10.4,12.0,0.43,14.4,371.0,140.0,16.0,37.7,13.25,5.0,0.11,0.29,0.13,-4.0,-4.9,11748.0,14370.0,81.8,227136.0,76735.0,193.0,497.0,38.8,8792.0,9907.0,88.7,2763.0,3966.0,69.7,-3.3,264.0,856.0,245.0,54.0,1318.0,13005.0,1365.0,409.0,45.0,2362.0,407.0,500.0,132.0,37.0,69.0,6.0,9597.0,2237.0,2536.0,4040.0,8895.0,422.0,542.0,222.0,40.0,223.0,233.0,339.0,577.0,20.61,403.0,48.0,58.0,34.0,34.0,73.0,2.61,47.0,5.0,8.0,7.0,6.0,0.0,566.0,356.0,256.0,252.0,58.0,191.0,567.0,33.7,376.0,4704.0,1404.0,29.8,1436.0,2179.0,1089.0,401.0,82.0,1.0,319.0,277.0,601.0,10.0,17693.0,1682.0,5342.0,9094.0,4508.0,751.0,16382.0,359.0,596.0,60.2,384.0,15.0,11692.0,72340.0,42219.0,13731.0,11748.0,85.6,357.0,306.0,1.0,336.0,346.0,44.0,3.0,5.0,1.0,2402.0,381.0,377.0,50.3
