,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1.0,0.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.04,1.0,3.0,33.3,5.0,1.0,40.0,44.0,1.0,100.0,67.0,2.0,0.0,0.0,1.0,3.6,14.7
1,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,4.0,4.0,180.0,1.0,0.5,4.0,3.0,0.75,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.28,0.1,0.06,8.0,22.0,36.4,34.0,5.0,32.4,35.6,19.0,57.9,43.0,24.0,2.0,8.3,0.0,0.0,16.5
2,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,13.0,1170.0,16.0,1.23,51.0,36.0,0.686,5.0,4.0,4.0,3.0,23.1,1.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,13.1,0.26,-1.9,-0.14,100.0,188.0,53.2,358.0,58.0,32.7,32.9,100.0,71.0,48.6,102.0,13.0,12.7,12.0,0.92,15.9
3,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,4.0,360.0,5.0,1.25,13.0,10.0,0.769,3.0,1.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,4.8,0.27,-0.2,-0.06,16.0,36.0,44.4,106.0,26.0,18.9,28.5,29.0,55.2,42.5,39.0,1.0,2.6,5.0,1.25,14.2
4,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,34.0,3060.0,41.0,1.21,142.0,107.0,0.746,17.0,4.0,13.0,11.0,32.4,6.0,5.0,1.0,0.0,34.0,0.0,8.0,1.0,39.6,0.24,-0.4,-0.01,166.0,451.0,36.8,759.0,150.0,39.3,37.2,280.0,54.6,44.8,354.0,20.0,5.6,18.0,0.53,13.9
5,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33.0,33.0,2960.0,43.0,1.31,126.0,87.0,0.698,6.0,14.0,13.0,10.0,30.3,5.0,5.0,0.0,0.0,32.9,3.0,3.0,0.0,40.8,0.29,-2.2,-0.07,213.0,573.0,37.2,696.0,121.0,53.9,42.5,294.0,67.3,52.9,336.0,21.0,6.3,11.0,0.33,14.3
6,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6.0,5.0,495.0,3.0,0.55,19.0,17.0,0.895,4.0,1.0,0.0,4.0,80.0,1.0,1.0,0.0,0.0,5.5,0.0,0.0,0.0,3.9,0.16,0.9,0.17,42.0,84.0,50.0,125.0,24.0,41.6,36.4,45.0,71.1,51.2,40.0,3.0,7.5,2.0,0.36,15.5
7,Churripi,es ESP,GK,Valladolid,25,1994,3.0,3.0,244.0,3.0,1.11,13.0,10.0,0.769,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,2.7,0.0,2.0,0.0,3.1,0.24,0.1,0.04,18.0,80.0,22.5,75.0,11.0,78.7,55.3,24.0,87.5,67.6,25.0,3.0,12.0,3.0,1.11,13.7
8,Jasper Cillessen,nl NED,GK,Valencia,30,1989,24.0,24.0,2096.0,30.0,1.29,102.0,78.0,0.765,10.0,7.0,7.0,5.0,20.8,8.0,6.0,2.0,0.0,23.3,2.0,3.0,1.0,28.0,0.22,-1.0,-0.04,140.0,413.0,33.9,553.0,133.0,48.5,39.4,206.0,70.4,56.3,265.0,21.0,7.9,12.0,0.52,12.8
9,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34.0,34.0,3060.0,20.0,0.59,95.0,74.0,0.789,23.0,8.0,3.0,18.0,52.9,0.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,22.9,0.25,2.9,0.09,90.0,311.0,28.9,865.0,200.0,26.1,33.0,219.0,38.8,40.3,285.0,25.0,8.8,22.0,0.65,14.8
