,squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alavés,32.0,41.1,38.0,418.0,3420.0,34.0,20.0,6.0,6.0,111.0,7.0,0.89,0.53,1.42,0.74,1.26,36.9,32.4,23.5,0.97,0.62,1.59,0.85,1.47,38.0,38.0,3418.0,59.0,1.55,147.0,98.0,0.68,10.0,9.0,19.0,9.0,23.7,15.0,12.0,3.0,0.0,38.0,3.0,3.0,0.0,57.1,0.32,-1.9,-0.05,401.0,881.0,45.5,787.0,110.0,71.5,50.4,348.0,91.4,62.5,356.0,22.0,6.2,18.0,0.47,14.0,299.0,99.0,10.0,33.1,7.87,2.61,0.09,0.28,0.11,-2.9,-4.4,9724.0,13753.0,70.7,207059.0,86512.0,188.0,569.0,33.0,6880.0,8519.0,80.8,2656.0,4665.0,56.9,-3.5,220.0,751.0,177.0,50.0,1240.0,11751.0,2002.0,544.0,24.0,2598.0,458.0,561.0,136.0,42.0,51.0,11.0,6872.0,2349.0,4532.0,4294.0,6628.0,1070.0,876.0,203.0,58.0,408.0,199.0,385.0,454.0,11.95,295.0,72.0,20.0,27.0,40.0,52.0,1.37,31.0,7.0,1.0,6.0,7.0,0.0,613.0,370.0,295.0,269.0,49.0,194.0,580.0,33.4,386.0,5609.0,1464.0,26.1,1757.0,2820.0,1032.0,576.0,120.0,0.0,456.0,406.0,1085.0,8.0,17992.0,2141.0,6134.0,8850.0,3878.0,563.0,16042.0,250.0,466.0,53.6,277.0,14.0,9417.0,53334.0,26549.0,12391.0,9724.0,78.5,458.0,386.0,3.0,621.0,433.0,61.0,5.0,14.0,0.0,3348.0,823.0,617.0,57.2
1,Athletic Club,26.0,48.7,38.0,418.0,3420.0,40.0,23.0,8.0,10.0,90.0,2.0,1.05,0.61,1.66,0.84,1.45,38.5,31.0,23.6,1.01,0.62,1.63,0.81,1.43,38.0,38.0,3416.0,38.0,1.0,121.0,87.0,0.727,13.0,12.0,13.0,12.0,31.6,7.0,5.0,0.0,2.0,38.0,2.0,4.0,2.0,43.2,0.33,7.2,0.19,363.0,871.0,41.7,978.0,168.0,61.8,47.1,298.0,89.6,65.6,384.0,29.0,7.6,18.0,0.47,13.7,400.0,130.0,14.0,32.5,10.53,3.42,0.08,0.25,0.08,1.5,1.0,12589.0,16607.0,75.8,263278.0,92587.0,218.0,621.0,35.1,8900.0,10458.0,85.1,3471.0,5528.0,62.8,-0.6,274.0,929.0,223.0,80.0,1431.0,14664.0,1943.0,518.0,30.0,2732.0,652.0,764.0,178.0,60.0,63.0,22.0,9258.0,3031.0,4318.0,4000.0,9898.0,929.0,874.0,277.0,70.0,437.0,210.0,417.0,575.0,15.13,385.0,74.0,42.0,26.0,47.0,59.0,1.55,39.0,3.0,3.0,5.0,8.0,1.0,578.0,353.0,286.0,219.0,73.0,192.0,619.0,31.0,427.0,5447.0,1548.0,28.4,1709.0,2485.0,1253.0,573.0,99.0,2.0,474.0,383.0,1130.0,8.0,20945.0,2191.0,6617.0,10445.0,5181.0,655.0,19036.0,342.0,567.0,60.3,374.0,22.0,12246.0,72999.0,39833.0,15307.0,12589.0,82.2,468.0,398.0,0.0,522.0,435.0,84.0,6.0,7.0,2.0,3457.0,836.0,686.0,54.9
2,Atlético Madrid,30.0,48.5,38.0,418.0,3420.0,50.0,35.0,6.0,8.0,93.0,3.0,1.32,0.92,2.24,1.16,2.08,52.5,46.4,34.4,1.38,0.91,2.29,1.22,2.13,38.0,38.0,3420.0,27.0,0.71,106.0,83.0,0.774,18.0,16.0,4.0,17.0,44.7,4.0,3.0,0.0,1.0,38.0,1.0,4.0,3.0,25.1,0.22,1.1,0.03,263.0,659.0,39.9,651.0,112.0,64.2,46.9,315.0,76.5,56.5,349.0,19.0,5.4,18.0,0.47,14.0,437.0,136.0,12.0,31.1,11.5,3.58,0.1,0.32,0.11,-2.5,-2.4,13709.0,17595.0,77.9,257089.0,96920.0,385.0,797.0,48.3,10405.0,11998.0,86.7,2919.0,4800.0,60.8,0.6,329.0,1037.0,302.0,59.0,1644.0,15679.0,1916.0,514.0,49.0,2730.0,429.0,580.0,183.0,46.0,86.0,20.0,10695.0,2609.0,4291.0,4090.0,10967.0,914.0,836.0,226.0,100.0,314.0,222.0,420.0,700.0,18.42,491.0,83.0,39.0,43.0,44.0,79.0,2.08,53.0,6.0,8.0,5.0,7.0,0.0,671.0,431.0,310.0,273.0,88.0,261.0,679.0,38.4,418.0,5111.0,1532.0,30.0,1616.0,2385.0,1110.0,659.0,124.0,1.0,535.0,436.0,989.0,6.0,22042.0,2034.0,6512.0,11158.0,5571.0,876.0,20176.0,350.0,585.0,59.8,372.0,18.0,13465.0,71845.0,38363.0,16316.0,13709.0,84.0,519.0,396.0,2.0,513.0,479.0,116.0,6.0,4.0,3.0,3493.0,784.0,695.0,53.0
3,Barcelona,28.0,66.9,38.0,418.0,3420.0,84.0,62.0,6.0,6.0,92.0,6.0,2.21,1.63,3.84,2.05,3.68,66.3,61.9,48.3,1.75,1.27,3.02,1.63,2.9,38.0,38.0,3420.0,38.0,1.0,113.0,79.0,0.717,25.0,7.0,6.0,15.0,39.5,7.0,6.0,1.0,0.0,38.0,2.0,1.0,0.0,36.4,0.27,-1.6,-0.04,209.0,348.0,60.1,1247.0,182.0,22.5,28.6,234.0,28.6,30.4,279.0,13.0,4.7,28.0,0.74,15.0,491.0,214.0,46.0,43.6,12.92,5.63,0.16,0.36,0.13,17.7,16.1,24981.0,28213.0,88.5,447369.0,126904.0,514.0,1053.0,48.8,19670.0,21300.0,92.3,4797.0,5860.0,81.9,13.7,383.0,1884.0,439.0,51.0,1847.0,26485.0,1728.0,576.0,109.0,3915.0,571.0,414.0,185.0,90.0,30.0,3.0,21538.0,3652.0,3023.0,10124.0,16258.0,640.0,637.0,307.0,78.0,259.0,419.0,510.0,871.0,22.92,663.0,39.0,78.0,29.0,62.0,149.0,3.92,113.0,6.0,12.0,6.0,12.0,0.0,544.0,367.0,224.0,228.0,92.0,166.0,462.0,35.9,296.0,4843.0,1488.0,30.7,1268.0,2305.0,1270.0,495.0,93.0,4.0,402.0,345.0,638.0,9.0,32097.0,2720.0,8347.0,16677.0,9213.0,1180.0,30469.0,512.0,822.0,62.3,543.0,27.0,23591.0,124502.0,70749.0,27495.0,24981.0,90.9,392.0,366.0,3.0,416.0,529.0,82.0,3.0,7.0,1.0,3095.0,431.0,321.0,57.3
4,Betis,27.0,57.1,38.0,418.0,3420.0,48.0,35.0,6.0,8.0,108.0,9.0,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.1,1.25,0.85,2.09,1.09,1.94,38.0,38.0,3418.0,60.0,1.58,144.0,94.0,0.66,10.0,11.0,17.0,6.0,15.8,11.0,11.0,0.0,0.0,38.0,1.0,4.0,1.0,52.6,0.3,-6.4,-0.17,208.0,540.0,38.5,1065.0,169.0,38.9,36.2,281.0,44.8,40.4,354.0,24.0,6.8,29.0,0.76,15.2,461.0,153.0,19.0,33.2,12.13,4.03,0.09,0.27,0.09,0.7,0.6,16289.0,19613.0,83.1,318734.0,95387.0,361.0,834.0,43.3,11967.0,13240.0,90.4,3961.0,5539.0,71.5,2.9,348.0,977.0,340.0,88.0,1384.0,17541.0,2072.0,701.0,32.0,3048.0,632.0,630.0,185.0,53.0,50.0,9.0,13172.0,2906.0,3535.0,7646.0,9872.0,675.0,802.0,274.0,67.0,335.0,224.0,462.0,752.0,19.79,575.0,54.0,54.0,30.0,39.0,75.0,1.97,54.0,4.0,5.0,6.0,6.0,0.0,533.0,331.0,285.0,190.0,58.0,160.0,494.0,32.4,334.0,4923.0,1305.0,26.5,1589.0,2221.0,1113.0,562.0,141.0,1.0,421.0,315.0,943.0,5.0,23915.0,2708.0,8179.0,11423.0,5888.0,939.0,21922.0,446.0,689.0,64.7,480.0,27.0,16012.0,94503.0,52405.0,18545.0,16289.0,87.8,491.0,404.0,3.0,473.0,578.0,84.0,6.0,11.0,1.0,2942.0,559.0,527.0,51.5
5,Celta Vigo,30.0,51.9,38.0,418.0,3420.0,37.0,26.0,6.0,9.0,104.0,6.0,0.97,0.68,1.66,0.82,1.5,37.8,31.0,25.0,0.99,0.66,1.65,0.82,1.47,38.0,38.0,3420.0,49.0,1.29,141.0,96.0,0.688,7.0,16.0,15.0,12.0,31.6,5.0,5.0,0.0,0.0,38.0,3.0,3.0,0.0,46.6,0.3,-2.4,-0.06,236.0,638.0,37.0,791.0,132.0,51.8,41.7,341.0,66.9,52.5,394.0,26.0,6.6,14.0,0.37,14.5,358.0,131.0,23.0,36.6,9.42,3.45,0.09,0.24,0.09,-0.8,0.0,14692.0,18402.0,79.8,281391.0,92446.0,329.0,808.0,40.7,11016.0,12510.0,88.1,3347.0,5084.0,65.8,1.0,271.0,929.0,255.0,52.0,1363.0,16451.0,1951.0,598.0,30.0,3378.0,494.0,645.0,176.0,51.0,70.0,22.0,11967.0,2691.0,3744.0,5916.0,10346.0,692.0,750.0,240.0,60.0,317.0,239.0,504.0,588.0,15.47,432.0,50.0,38.0,25.0,43.0,65.0,1.71,40.0,4.0,7.0,4.0,10.0,0.0,619.0,371.0,351.0,217.0,51.0,191.0,563.0,33.9,372.0,5389.0,1542.0,28.6,2038.0,2316.0,1035.0,521.0,102.0,0.0,419.0,397.0,985.0,4.0,22702.0,2428.0,7514.0,11367.0,5176.0,679.0,20821.0,367.0,596.0,61.6,390.0,16.0,14522.0,84074.0,44001.0,17193.0,14692.0,85.5,460.0,450.0,3.0,473.0,527.0,70.0,6.0,5.0,0.0,3231.0,637.0,653.0,49.4
6,Eibar,26.0,46.3,38.0,418.0,3420.0,38.0,24.0,7.0,10.0,92.0,3.0,1.0,0.63,1.63,0.82,1.45,41.3,33.7,23.6,1.09,0.62,1.71,0.89,1.51,38.0,38.0,3420.0,56.0,1.47,127.0,76.0,0.591,11.0,9.0,18.0,11.0,28.9,6.0,4.0,2.0,0.0,38.0,2.0,3.0,1.0,48.0,0.35,-7.0,-0.19,311.0,922.0,33.7,886.0,97.0,74.7,58.3,269.0,96.7,76.1,303.0,21.0,6.9,51.0,1.34,17.1,417.0,135.0,21.0,32.4,10.97,3.55,0.07,0.23,0.08,-3.3,-2.7,10624.0,15317.0,69.4,232451.0,87898.0,192.0,578.0,33.2,7269.0,8904.0,81.6,3163.0,5835.0,54.2,0.4,276.0,1036.0,248.0,102.0,1560.0,13214.0,2103.0,539.0,16.0,2742.0,711.0,871.0,189.0,71.0,87.0,12.0,6947.0,2789.0,5581.0,3510.0,8561.0,1239.0,1012.0,220.0,64.0,515.0,171.0,426.0,585.0,15.39,390.0,78.0,35.0,38.0,44.0,53.0,1.39,32.0,4.0,3.0,6.0,8.0,0.0,618.0,370.0,263.0,255.0,100.0,216.0,622.0,34.7,406.0,5516.0,1617.0,29.3,1388.0,2572.0,1556.0,580.0,96.0,3.0,484.0,454.0,1044.0,7.0,19712.0,1879.0,5278.0,9803.0,5668.0,704.0,17636.0,260.0,438.0,59.4,284.0,16.0,10553.0,60329.0,29262.0,13750.0,10624.0,77.3,527.0,401.0,2.0,538.0,412.0,73.0,6.0,5.0,1.0,3935.0,909.0,1048.0,46.4
7,Espanyol,31.0,47.3,38.0,418.0,3420.0,25.0,17.0,4.0,4.0,107.0,9.0,0.66,0.45,1.11,0.55,1.0,33.1,30.2,22.8,0.87,0.6,1.47,0.79,1.39,38.0,38.0,3412.0,58.0,1.53,157.0,105.0,0.669,5.0,10.0,23.0,6.0,15.8,7.0,6.0,1.0,0.0,37.9,0.0,6.0,2.0,50.6,0.29,-5.4,-0.14,237.0,721.0,32.9,899.0,133.0,55.6,44.6,317.0,69.7,51.8,315.0,27.0,8.6,31.0,0.82,14.6,400.0,123.0,19.0,30.8,10.53,3.24,0.05,0.17,0.08,-8.1,-9.2,12033.0,16183.0,74.4,249549.0,88552.0,196.0,594.0,33.0,8560.0,10090.0,84.8,3277.0,5499.0,59.6,-5.8,275.0,951.0,246.0,79.0,1410.0,14264.0,1919.0,551.0,35.0,2536.0,519.0,713.0,155.0,49.0,63.0,19.0,8777.0,2859.0,4547.0,4885.0,8690.0,968.0,803.0,242.0,53.0,406.0,203.0,427.0,588.0,15.47,405.0,71.0,34.0,35.0,41.0,43.0,1.13,27.0,4.0,2.0,5.0,3.0,2.0,640.0,402.0,321.0,254.0,65.0,236.0,684.0,34.5,448.0,5904.0,1660.0,28.1,1924.0,2845.0,1135.0,551.0,98.0,1.0,453.0,360.0,1002.0,8.0,20407.0,2255.0,6895.0,10188.0,4489.0,652.0,18543.0,288.0,506.0,56.9,314.0,15.0,11941.0,71733.0,38177.0,14837.0,12033.0,81.1,483.0,375.0,6.0,583.0,469.0,64.0,1.0,5.0,2.0,3591.0,705.0,746.0,48.6
8,Getafe,30.0,44.6,38.0,418.0,3420.0,42.0,31.0,6.0,7.0,135.0,5.0,1.11,0.82,1.92,0.95,1.76,37.9,32.5,25.6,1.0,0.67,1.67,0.86,1.53,38.0,38.0,3420.0,37.0,0.97,102.0,70.0,0.686,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,38.0,0.0,2.0,1.0,37.8,0.33,1.8,0.05,369.0,987.0,37.4,871.0,41.0,86.3,58.8,259.0,90.7,61.4,262.0,30.0,11.5,49.0,1.29,17.0,397.0,120.0,27.0,30.2,10.45,3.16,0.09,0.3,0.08,4.1,3.5,8447.0,13361.0,63.2,181642.0,80594.0,246.0,751.0,32.8,5804.0,7709.0,75.3,2397.0,4901.0,48.9,5.4,274.0,930.0,278.0,124.0,1632.0,11112.0,2249.0,642.0,12.0,2465.0,620.0,842.0,183.0,39.0,66.0,9.0,5276.0,2823.0,5262.0,3437.0,6679.0,1207.0,1092.0,128.0,97.0,448.0,199.0,544.0,601.0,15.82,411.0,73.0,33.0,24.0,59.0,73.0,1.92,44.0,6.0,11.0,4.0,7.0,1.0,643.0,390.0,260.0,293.0,90.0,200.0,575.0,34.8,375.0,6265.0,1868.0,29.8,1634.0,3177.0,1454.0,529.0,72.0,2.0,457.0,367.0,1144.0,4.0,17760.0,1588.0,4715.0,8406.0,5416.0,717.0,15556.0,262.0,448.0,58.5,289.0,13.0,8692.0,50038.0,25409.0,11587.0,8447.0,72.9,521.0,408.0,2.0,706.0,495.0,106.0,4.0,6.0,1.0,4043.0,895.0,1020.0,46.7
9,Granada,27.0,43.7,38.0,418.0,3420.0,50.0,34.0,5.0,5.0,109.0,1.0,1.32,0.89,2.21,1.18,2.08,41.0,37.2,24.8,1.08,0.65,1.73,0.98,1.63,38.0,38.0,3420.0,45.0,1.18,149.0,107.0,0.725,16.0,8.0,14.0,13.0,34.2,5.0,4.0,1.0,0.0,38.0,1.0,5.0,0.0,44.9,0.28,-0.1,0.0,378.0,979.0,38.6,1081.0,136.0,66.3,49.2,326.0,80.4,59.7,362.0,40.0,11.0,44.0,1.16,15.6,384.0,118.0,25.0,30.7,10.11,3.11,0.12,0.38,0.1,9.0,7.8,9933.0,13965.0,71.1,216931.0,83075.0,174.0,589.0,29.5,6812.0,8318.0,81.9,2947.0,5058.0,58.3,9.2,256.0,791.0,185.0,71.0,1312.0,11990.0,1975.0,583.0,18.0,2640.0,530.0,674.0,162.0,54.0,55.0,15.0,7182.0,2438.0,4345.0,3781.0,7686.0,853.0,822.0,219.0,56.0,454.0,188.0,458.0,552.0,14.53,370.0,75.0,27.0,30.0,49.0,73.0,1.92,44.0,7.0,3.0,8.0,10.0,1.0,589.0,349.0,258.0,263.0,68.0,182.0,531.0,34.3,349.0,5814.0,1578.0,27.1,1733.0,2884.0,1197.0,588.0,126.0,0.0,462.0,386.0,1005.0,4.0,18072.0,2365.0,6249.0,8417.0,4361.0,612.0,16138.0,303.0,520.0,58.3,328.0,22.0,10152.0,60106.0,31260.0,12437.0,9933.0,79.9,443.0,343.0,1.0,591.0,497.0,70.0,3.0,5.0,0.0,3287.0,685.0,798.0,46.2
