,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4.0,4.0,279.0,4.0,1.29,11.0,7.0,0.636,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.0,0.18,-2.0,-0.66,11.0,32.0,34.4,51.0,8.0,45.1,37.0,24.0,37.5,32.8,38.0,2.0,5.3,4.0,1.29,16.3
1,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6.0,5.0,531.0,16.0,2.71,45.0,28.0,0.644,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.9,1.0,1.0,0.0,12.9,0.29,-3.1,-0.53,33.0,66.0,50.0,97.0,45.0,33.0,35.4,66.0,51.5,43.5,56.0,1.0,1.8,2.0,0.34,12.4
2,Emil Audero,it ITA,GK,Sampdoria,22,1997,36.0,36.0,3240.0,60.0,1.67,160.0,110.0,0.669,12.0,5.0,19.0,9.0,25.0,8.0,7.0,0.0,1.0,36.0,0.0,11.0,4.0,52.8,0.29,-3.2,-0.09,203.0,558.0,36.4,748.0,130.0,50.1,41.5,289.0,63.3,46.8,399.0,32.0,8.0,19.0,0.53,14.2
3,Asmir Begović,ba BIH,GK,Milan,32,1987,2.0,1.0,129.0,3.0,2.09,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,3.1,0.39,0.1,0.06,4.0,11.0,36.4,24.0,5.0,33.3,32.8,12.0,25.0,32.3,8.0,0.0,0.0,0.0,0.0,15.5
4,Etrit Berisha,al ALB,GK,SPAL,30,1989,26.0,26.0,2340.0,41.0,1.58,142.0,106.0,0.754,5.0,3.0,18.0,3.0,11.5,6.0,6.0,0.0,0.0,26.0,1.0,2.0,2.0,44.2,0.28,2.2,0.09,196.0,440.0,44.5,650.0,136.0,46.0,37.4,234.0,60.3,45.9,276.0,21.0,7.6,14.0,0.54,13.6
5,Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,27.5,1.0,100.0,67.0,0.0,0.0,0.0,0.0,0.0,21.0
6,Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9.0,9.0,810.0,10.0,1.11,32.0,23.0,0.719,7.0,1.0,1.0,1.0,11.1,2.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,7.7,0.21,-2.3,-0.26,22.0,38.0,57.9,157.0,40.0,17.8,27.4,55.0,18.2,22.9,76.0,1.0,1.3,7.0,0.78,16.4
7,Simone Colombi,it ITA,GK,Parma,28,1991,4.0,4.0,360.0,4.0,1.0,17.0,14.0,0.824,1.0,1.0,2.0,1.0,25.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,4.1,0.2,0.1,0.03,11.0,24.0,45.8,59.0,16.0,27.1,31.1,39.0,20.5,24.6,33.0,2.0,6.1,0.0,0.0,11.7
8,Andrea Consigli,it ITA,GK,Sassuolo,32,1987,31.0,31.0,2790.0,55.0,1.77,140.0,93.0,0.657,12.0,5.0,14.0,5.0,16.1,8.0,7.0,1.0,0.0,31.0,1.0,9.0,3.0,49.9,0.32,-2.1,-0.07,141.0,339.0,41.6,789.0,136.0,34.2,32.7,206.0,33.5,30.0,292.0,25.0,8.6,20.0,0.65,14.9
9,Angelo da Costa Júnior,br BRA,GK,Bologna,35,1983,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.46,-0.1,-0.08,2.0,4.0,50.0,24.0,4.0,16.7,28.1,4.0,0.0,17.5,3.0,0.0,0.0,1.0,1.0,18.8
10,Alessio Cragno,it ITA,GK,Cagliari,25,1994,16.0,16.0,1440.0,21.0,1.31,86.0,66.0,0.767,2.0,6.0,8.0,3.0,18.8,2.0,1.0,1.0,0.0,16.0,0.0,2.0,1.0,23.9,0.26,3.9,0.24,87.0,251.0,34.7,318.0,67.0,51.6,40.7,157.0,55.4,43.0,176.0,14.0,8.0,5.0,0.31,11.5
11,Gianluigi Donnarumma,it ITA,GK,Milan,20,1999,36.0,36.0,3201.0,42.0,1.18,134.0,97.0,0.716,18.0,9.0,9.0,12.0,33.3,8.0,4.0,4.0,0.0,35.6,0.0,7.0,1.0,45.8,0.29,4.8,0.14,221.0,469.0,47.1,882.0,172.0,38.4,34.4,260.0,50.0,39.1,307.0,29.0,9.4,20.0,0.56,14.7
12,Bartłomiej Drągowski,pl POL,GK,Fiorentina,21,1997,31.0,31.0,2790.0,43.0,1.39,131.0,94.0,0.718,7.0,12.0,12.0,8.0,25.8,8.0,6.0,2.0,0.0,31.0,2.0,6.0,0.0,43.1,0.29,0.1,0.0,138.0,380.0,36.3,682.0,195.0,39.9,37.0,222.0,48.6,42.1,285.0,19.0,6.7,14.0,0.45,12.6
